id,key,octave,steps_from_C,eventType,artistGenre,phrase0_start,phrase0_end,phrase1_start,phrase1_end,phrase2_start,phrase2_end,phrase3_start,phrase3_end,phrase4_start,phrase4_end,phrase5_start,phrase5_end,phrase6_start,phrase6_end,phrase7_start,phrase7_end,phrase8_start,phrase8_end,phrase9_start,phrase9_end,phrase10_start,phrase10_end,phrase11_start,phrase11_end,phrase12_start,phrase12_end,phrase13_start,phrase13_end,phrase14_start,phrase14_end,phrase15_start,phrase15_end,phrase0_diva,phrase1_diva,phrase2_diva,phrase3_diva,phrase4_diva,phrase5_diva,phrase6_diva,phrase7_diva,phrase8_diva,phrase9_diva,phrase10_diva,phrase11_diva,phrase12_diva,phrase13_diva,phrase14_diva,phrase15_diva
chaka-khan_nba-allstar-game_2020,F,,5,basketball,rnb,0.8,6.6,7.9,15.2,16.8,21.8,22.6,28.2,28.9,36.6,37.3,41.9,42.9,48.5,49.2,54.3,54.9,64,64.4,71.6,72,79.8,80.5,86.3,87.9,94.8,95.9,109.9,112.3,123.8,124.3,143.7,280.9,211.5,638.1,232.8,274.3,145.5,728.1,172.8,1552.5,703.5,429.7,508.5,619.1,2034.8,1021.8,2164.5
cher_super-bowl_1999,Eb,,3,football,pop,0.2,4.7,5.2,9.7,10.7,15.4,15.8,20.3,20.9,25.9,26.4,30.8,31.9,36.3,36.9,41.5,41.9,46.4,46.8,51.8,52.1,56.5,57.3,62.4,62.5,68.7,69.2,75.3,76.1,83.7,84.9,105.4,103.2,55,247.8,137.6,89.8,61.8,143.4,262.7,112.1,214.9,215.8,1031.6,1279.1,350.6,424,1727.7
cheryl-ladd_super-bowl_1980,E,,4,football,pop,0.2,4.3,4.7,8.8,9.4,13.3,13.8,17.8,18.1,22.2,22.5,26.7,27.5,31.3,31.6,35.8,36.3,39.9,40.4,44.7,45,49.1,49.7,54.7,55.6,60.6,61,66,67.1,72.5,73.4,81,67.2,80.6,106.6,82.5,115,263.8,81.6,174.2,76.9,173.6,130.2,113.1,114.2,104.7,147,848.1
chloe-bailey_world-series_2022,E,,4,baseball,rnb,0.5,4.8,5.9,10.5,11.4,15.9,16.5,21.5,22.5,28,28.6,34.3,35.3,40,40.5,46.2,47.1,53.1,53.8,60,60.2,66,66.4,72.2,72.5,80,80.5,87.5,88.3,97.5,98.7,111.3,370.7,103.5,184,125.3,105.8,130.4,276.4,287.5,1000,702,379.5,1143.8,695,1036.8,632.8,977
chris-daughtry_world-series_2011,D,,2,baseball,rock,0.7,5.1,6.4,11.5,12.8,17.6,18.7,23.2,24.4,28.5,29.4,33.8,34.9,39.5,40.7,45.5,47,51.4,51.9,56.4,57.2,61.3,61.9,66.1,67.3,72.5,73.1,78,80.1,84.4,86,98.1,84.7,87.6,189.1,44,121,197.8,66.5,89.9,501.7,291.6,96.7,47.3,234,163.2,186.3,828.3
chris-stapleton_super-bowl_2023,C#,,1,football,country,0.3,6.5,7.3,12.2,14.3,20.1,21.3,26.9,28.6,35.1,35.7,40.6,42.7,48,49.7,55.1,56.7,61.5,62.8,68.6,69.2,75.9,77.7,83.5,84.7,92.5,93,98.8,101.5,108.8,109.5,121.3,130.6,349.4,606.2,331.1,127,361.5,380.8,329.2,140.2,352.9,701.7,290.3,509.5,419.2,198.5,484.3
christina-aguilera_nba-allstar-game_2004,F,,5,basketball,pop,0.3,6.4,6.9,12.6,13.2,18.5,19.4,25,25.4,30.7,31.1,37.1,37.9,43.4,43.9,49.6,49.9,55.1,55.6,61.5,61.8,66.6,67.3,75.9,76.1,82.8,83.4,89.6,90.5,98.6,99.2,118.6,116.8,112.2,372.6,104.3,90.1,208.9,268.1,199.9,109.2,268,221.4,300.6,399,259.8,756.7,1497.3
christina-aguilera_super-bowl_2011,F,,5,football,pop,0.4,8.1,8.7,15.2,16.1,20.8,21.3,25.2,26.2,33.1,33.5,40.1,41.2,45.2,45.7,49.5,50.6,57.1,57.6,62.8,63.1,67.6,67.9,73,73.1,79.8,80.1,88.2,88.5,95.5,95.7,113.2,158,164.7,230.9,89.6,156.2,161.6,211.5,101.3,296.6,283.5,293.1,600.3,510.8,618.4,484,1371.7
cody-johnson_world-series_2019,A,TRUE,-3,baseball,country,0.5,4.8,5.4,9.7,10.2,14.7,14.9,19.5,20.2,24.6,25.1,29.6,30.1,34.6,35.3,40,41.4,45.8,46,50.4,50.8,55.7,56,60.7,61,66.9,67.4,74,74.7,80.3,80.8,89.2,65.4,124.4,238.7,147.1,76.6,132.3,85.7,108.6,178.2,325.5,124.1,150.6,222,129.9,259.3,515.9
colbie-caillat_world-series_2013,E,,4,baseball,pop,0.2,5.5,6.4,11.5,12.9,18.6,19.2,23.9,25.2,31,31.4,36.6,37.7,43.1,44,48.8,50.3,55.9,56.4,61.1,62.7,67.8,69,74.7,75.3,82.2,82.5,88.4,89.7,96.1,97.8,108.2,77.2,199.5,559.4,206.8,87.5,154.3,426.9,111.6,115.2,645.8,357,236,327,385,387.8,612.3
darius-rucker_world-series_1995,Bb,TRUE,-2,baseball,rock,0.3,6.1,6.7,10.9,11.9,16.2,16.6,21,21.7,26.4,27.1,32.3,33.2,38,38.6,43.4,43.9,48,48.2,53,53.4,57.6,58.1,62.7,63.5,69.7,70,75.1,75.8,81.2,81.6,90.8,93.2,190.3,156.7,197.9,58.4,87.8,214.5,48.2,116.7,163.5,137.3,144.5,266.4,139.6,148.8,623.4
demi-lovato_super-bowl_2020,Ab,,8,football,pop,0.3,5.5,5.7,10.9,11.3,16.5,16.9,21.8,22.3,27.1,27.6,32.6,33.2,38.2,38.6,43.6,43.9,49.3,49.5,54.6,54.9,59.9,60.2,65.3,65.8,71.7,72.2,80.2,82.2,90.2,92.8,110,98,96.5,282.2,72.2,98.6,87.1,116.1,80.2,153,154.4,253.2,135.2,157.5,281.8,495.1,340.7
demi-lovato_world-series_2012,Ab,,8,baseball,pop,0.6,6.6,7.7,13.9,14.7,19.2,19.6,25,25.8,31.4,32.1,37.1,38.2,42.1,43.1,48.6,49.4,55.5,56,61.8,62.6,67.7,68.4,74.8,76.6,82.6,83,89.9,92.2,98.7,101.7,110.8,66.6,209.1,399.4,140.3,50.6,218.3,144.4,114.2,515.1,451.3,571.3,1532,439.3,407.1,209.2,178.3
demi-lovato_world-series_2015,Ab,,8,baseball,pop,0.1,4.8,5.6,10.6,11.7,16.5,17.4,22.7,23.8,28.7,29.4,34.3,35.1,39.9,40.6,45.7,49.3,54.5,56.5,61.6,63.1,68.2,69,74.3,76.6,82.2,82.8,91.1,94.7,101.2,103.6,118.5,75.2,147.4,255.2,144.3,70,165,111.1,56,530.7,318.2,90.4,229.1,302.8,284.7,209.1,2106.3
diana-ross_super-bowl_1982,G,,7,football,rnb,0.3,4.9,5.5,10.3,11,15.8,16.3,20.9,21.9,26.8,27.5,32.7,33.6,38.9,39.3,44.2,45,50.7,51,56.5,56.7,61.6,62.3,67.1,68.1,74.2,74.6,79.6,81,87,87.8,97.9,48.9,113.8,72,145.4,49.7,197.9,99.4,98.1,199.6,197.6,165.8,175.9,152.9,451.6,319.2,608.1
dierks-bentley_stanley-cup-playoffs_2017,F,TRUE,-7,hockey,country,0.2,4.3,4.9,9.1,9.5,13.4,13.8,18,18.7,22.7,23.1,27.1,27.6,31.4,32,36.8,37.6,41.7,42,46.3,46.8,50.6,51.3,56.1,56.9,62.1,62.4,67.2,68.6,74.2,74.7,80.7,89.2,286.8,328.6,182,117.1,175.4,154.4,476.3,154.3,265,396.8,335,509.1,463.8,98,81.7
donna-summer_mlb-allstar-game_1999,Eb,,3,baseball,rnb,0.3,5.4,5.8,11.4,11.8,17.1,17.5,22.3,22.7,27.7,28.1,33.1,33.7,39,39.4,44.5,45.1,49.7,50.2,55.4,56,61,61.4,66.6,67,72.8,73.3,79,79.7,90.6,91.1,101.1,169.3,132.5,217.6,160.6,88.2,137.1,115.1,123.5,98.5,216.4,87.2,46,122.7,126.4,274,122.5
eric-burton_world-series_2022,B,TRUE,-1,baseball,rnb,0.3,7.4,8.4,14.2,14.8,20.6,21.1,27.8,28.4,34.7,35.4,41.1,41.8,47.3,47.8,53.3,53.8,63.4,64.1,71.1,72,77,77.9,84,84.2,90.9,91.6,101.2,102.2,112,112.6,130.4,124.8,107.5,324,156.5,85.9,86.2,137.4,553.5,633.5,367,392,109.3,202,319.8,697.5,1256.2
faith-hill_super-bowl_2000,G,,7,football,country,0.6,6.9,7.6,13.8,14.5,20.7,21.4,27.4,28.4,34.7,35.2,41.7,42.3,48.7,49.1,55.3,56.1,62.4,62.9,69.1,69.9,76.2,77,83.5,83.9,89.4,90.2,96.7,97.4,106.3,107,120.6,84.4,87.4,198,115.2,54.6,89.9,176.9,127.2,129.4,258.6,125.6,830.2,130.9,350.1,128.6,608.3
fantasia_ncaa-football-championship_2023,F#,,6,football,rnb,0.3,6.3,7.4,12.2,13.6,19.4,20,24.5,25.2,30.3,30.8,35.5,36.3,41.6,42.2,47.1,48,53.2,53.8,59.6,60.1,65.4,65.8,70.5,70.8,76.7,77.1,84.4,85.5,90.2,90.5,103.2,213.1,286.3,961.2,122.3,96.7,225,324.9,58,173.3,328.2,292,265.3,375,618.3,193.4,1076.5
fergie_nba-allstar-game_2018,G,,7,basketball,pop,0.3,6.4,7.3,13.5,14.2,20.9,21.4,27.7,28.4,34.4,35.3,41.9,42.7,48.8,49.6,55.9,56.5,63.1,63.5,70.1,70.9,77,77.8,83.5,83.9,92.3,92.7,101.1,104.5,114.8,117.3,135.8,90.6,135.1,492.2,161.5,154.3,363.7,369.7,111.9,257.8,266.9,319.9,69.3,1202.4,484.4,208.5,1475.5
gladys-knight_super-bowl_2019,D,,2,football,rnb,0.3,5.2,5.7,10.5,11.2,16.2,16.6,21.6,22,26.9,27.5,32.1,32.7,37.5,37.8,42.9,45.8,50.8,51.1,55.9,56.2,60.7,61.2,68.6,69.4,75.2,75.7,84,84.5,96.4,97.9,121.5,140.5,168.3,280,158.6,171.6,147.1,223.3,190,168.6,183.6,375.3,925.7,368.4,312.2,357.1,1937.6
gladys-knight_world-series_1991,Eb,,3,baseball,rnb,0.6,5.1,5.7,10.2,10.8,15.5,15.9,20.6,21.3,26,26.5,30.9,31.7,36.5,37,41.7,42.2,46.9,47.1,51.8,52.3,57.1,57.6,62.6,63.1,68.4,69.1,74.8,75.4,82.4,82.8,92.8,183.8,104.9,261.3,192.5,174.4,179.3,214.1,182.7,161.2,81.1,163.3,430.6,236.8,242.8,246.1,917.6
gretchen-wilson_nba-allstar-game_2010,E,,4,basketball,country,0.2,4.5,5.3,9.2,9.8,13.8,14.2,18.7,20.6,24.6,25.1,29.1,29.5,33.4,33.8,38.4,40.2,44.1,44.5,48.5,48.9,52.7,53.2,58.3,59.2,64,64.4,70,71.5,78.1,79,88.7,70.1,59.6,94.2,184.2,96.4,52.6,153.4,74,137.4,136.2,80,106.4,142,214.1,163.2,150.7
harry-connick-jr_super-bowl_1992,Ab,TRUE,-4,football,jazz,0.7,6.7,7.6,13.9,14.9,21,21.9,28.7,29.4,35.4,36.4,42.7,43.7,50,50.8,57.4,58.2,64.8,65.3,71.6,72.3,78.7,79.7,86.1,86.7,94.5,95,103.7,105.6,113.4,116.4,127.4,99.9,171.2,149.3,217.5,99,119.1,196.6,101.1,188.1,353.3,229.9,199,215.8,187.8,150.1,152.3
her_world-series_2023,E,,4,baseball,rnb,0.6,6,6.6,12.3,12.8,18.4,19.2,25.3,25.9,32.9,33.3,39.6,40.4,46.6,47.1,53.3,53.9,61.5,62,68.2,68.6,74.3,75,82,82.7,89.5,90,96.6,100.2,108.7,110.4,129.6,67.7,111,264.6,145.5,103.9,107.1,213.1,181.8,178.4,239.3,230.3,149.1,336.5,248.5,823,701.7
hunter-hayes_world-series_2016,Bb,TRUE,-2,baseball,country,0.3,5.5,6.3,10.8,11.4,16.5,17,21.3,22,27,27.4,31.4,32.3,37.1,37.4,42.2,43,48.2,48.7,54.4,54.8,59.7,60.1,64.9,65.4,71.2,71.6,76.8,77.7,83.2,83.6,92,259.7,182,423.7,80.9,67.9,68.9,131.4,94.3,102.7,316.8,129.6,169.8,439.1,290.2,138.6,590.4
idina-menzel_mlb-allstar-game_2014,F#,,6,baseball,broadway,0.4,8.5,9.5,15.4,16.1,21.7,22,27.1,28.5,33.7,34.2,39.7,40.5,46.3,46.7,51.4,52.7,59.1,59.5,66,66.6,71.9,72.3,77.1,77.5,83.6,84,93.2,94.1,104.4,108.7,119.6,169.1,94.2,224.3,184.9,97.8,154.8,121.5,114.6,90.8,242.1,185.2,118.8,293.2,380.9,156.1,3233.5
idina-menzel_super-bowl_2015,F,,5,football,broadway,0.2,8.9,9.8,15.5,17,21.4,22.4,27.8,29,34.5,35.5,41.3,42.9,48.5,49.3,55,56.2,62.2,63.3,69.9,70.7,75,75.8,81.4,81.9,87.5,88.2,99.2,101.1,111.9,112.9,121.5,136.1,258.3,186,135.5,90.5,250.3,148.1,160.7,157.6,307.4,266.2,263.5,311.7,379.9,414.5,127.8
jackie-evancho_inauguration_2017,Ab,,8,political,classical,0.6,5.1,5.7,10.1,10.5,15,15.7,20.3,20.8,25.6,26,30.3,31,35.3,36,40.5,41.1,45.8,46.1,50.6,51.1,55.7,56.3,61.2,61.8,67.3,67.7,74.5,75.1,84.9,85.7,97.2,53.3,84.9,135.3,100.4,40.1,125.5,91.7,61.6,139.2,104.6,149.6,159.6,227.8,169.4,919.2,115.3
james-taylor_world-series_2018,Ab,TRUE,-4,baseball,folk,0.3,5,5.4,9.9,10.5,14.4,14.7,18.2,19.1,22.7,23.2,27.6,28.2,32.3,32.9,36.1,36.9,40.8,41.2,45.2,45.8,49.5,50.2,54.4,54.9,60.2,60.4,65.3,66.2,71.9,72.3,78.5,70.2,75.1,149.5,143.5,56,129.3,89,93.4,109.6,47.5,137.4,202.1,192.8,159.4,200.6,128.4
jazmine-sullivan_world-series_2022,F,,5,baseball,rnb,0.2,7.7,8.2,14.4,15,20.7,21.4,27.6,28.2,35.1,35.5,42.1,42.7,49,49.7,56.5,57.3,64.5,64.9,71.6,72.1,78.7,79.3,86.5,86.9,94.5,95,105.5,106.3,112.5,113.5,130.8,103.2,197.2,325.6,94.6,125.6,117.7,271.7,120.1,188.2,102.3,263.7,1414.6,799,397.9,744.1,735.3
jennifer-hudson_super-bowl_2009,A,,9,football,rnb,0.5,7.3,8.1,15.1,15.7,22.9,23.4,29.8,30.6,38,38.5,45.8,46.4,53.5,53.8,60.7,61.5,68.4,68.8,76.1,76.4,83.7,84.6,95.5,96.2,102.3,102.6,109.6,110.4,118.1,118.7,130.7,123.3,320.1,529.8,171.8,95.5,191.3,245.6,222,301,331.1,333.5,1318.6,394.3,572.8,474.7,921.8
jessica-simpson_indy-500_2004,F,,5,racing,pop,0.3,4.4,5,9.5,10.3,14.5,15.2,19.3,19.9,24.1,24.6,28.8,29.4,33.5,34.3,38.4,39,43.5,43.7,48.4,48.9,53.1,53.4,57.5,57.9,63.8,64.2,69.6,70.3,78.2,78.8,84.7,72.6,215.4,172.3,53.9,39.7,133.7,174.5,64.4,178.8,204.9,352.5,171.4,325.6,402.3,867,312
